participant,daysBetween,condition,stimuliType,stimSet,meanValenceRating,meanArousalRating,meanValenceRT,meanArousalRT,meanZValenceRating,meanZArousalRating,Ntrial,KVIQ_Visual_Score,KVIQ_Kinesthetic_Score,GoldMSI_ActiveEngagement_63,GoldMSI_PerceptualAbilities_63,GoldMSI_MusicalTraining_49,GoldMSI_Emotions_42,GoldMSI_SingingAbilities_49,GoldMSI_GeneralMusicalSophistication_126
P27,3,Sham,High Valence - High Arousal,Set1,7.875,7.75,1.6524595,1.591184313,1.361595144,1.007362875,8,17,17,52,43,13,36,21,69
P27,3,Sham,High Valence - Low Arousal,Set1,5.5,3.5,3.022315838,2.37936245,0.394480836,-1.052807817,8,17,17,52,43,13,36,21,69
P27,3,Sham,Low Valence - High Arousal,Set1,2.5,7.125,4.890146337,2.97813015,-0.827137237,0.704396597,8,17,17,52,43,13,36,21,69
P27,3,Sham,Low Valence - Low Arousal,Set1,2.125,4.625,2.269172612,3.237989312,-0.979839496,-0.507468516,8,17,17,52,43,13,36,21,69
P30,7,Active,High Valence - High Arousal,Set1,7.625,7.25,1.990420525,2.9120482,1.21282071,0.935594217,8,19,21,45,44,32,38,26,87
P30,7,Active,High Valence - Low Arousal,Set1,5.875,3.25,2.895252412,3.880993425,0.516226251,-0.825524309,8,19,21,45,44,32,38,26,87
P30,7,Active,Low Valence - High Arousal,Set1,2.25,6.375,1.919894812,4.267593875,-0.926719414,0.550349539,8,19,21,45,44,32,38,26,87
P30,7,Active,Low Valence - Low Arousal,Set1,2.375,3.625,1.58006985,3.388556888,-0.876962667,-0.660419447,8,19,21,45,44,32,38,26,87
P30,7,Sham,High Valence - High Arousal,Set1,7.5,7.375,6.234461575,3.601156163,1.163063963,0.990629171,8,19,21,45,44,32,38,26,87
P30,7,Sham,High Valence - Low Arousal,Set1,5.625,4.5,3.229123663,1.754707875,0.416712757,-0.27517477,8,19,21,45,44,32,38,26,87
P30,7,Sham,Low Valence - High Arousal,Set1,2.625,5.5,4.772679287,3.263968563,-0.777449173,0.165104862,8,19,21,45,44,32,38,26,87
P30,7,Sham,Low Valence - Low Arousal,Set1,2.75,3.125,3.668771538,3.412305025,-0.727692426,-0.880559263,8,19,21,45,44,32,38,26,87
P31,21,Active,High Valence - High Arousal,Set2,6.625,7,3.326000588,1.949587138,0.851939289,0.866382366,8,10,16,46,43,32,37,22,73
P31,21,Active,High Valence - Low Arousal,Set2,6.625,3.125,3.744691862,1.8888072,0.851939289,-0.71349136,8,10,16,46,43,32,37,22,73
P31,21,Active,Low Valence - High Arousal,Set2,3.125,6.125,2.607328338,2.185959475,-0.662619447,0.509636686,8,10,16,46,43,32,37,22,73
P31,21,Active,Low Valence - Low Arousal,Set2,4.625,2.625,3.032013175,2.2154978,-0.013522846,-0.917346034,8,10,16,46,43,32,37,22,73
P31,21,Sham,High Valence - High Arousal,Set2,5.875,7.25,3.432705662,4.7734299,0.527390989,0.968309703,8,10,16,46,43,32,37,22,73
P31,21,Sham,High Valence - Low Arousal,Set2,4.25,2.875,2.936141738,4.36763175,-0.175796996,-0.815418697,8,10,16,46,43,32,37,22,73
P31,21,Sham,Low Valence - High Arousal,Set2,2.75,7.5,4.612397288,4.741209137,-0.824893598,1.07023704,8,10,16,46,43,32,37,22,73
P31,21,Sham,Low Valence - Low Arousal,Set2,3.375,2.5,2.777140125,3.721219025,-0.55443668,-0.968309703,8,10,16,46,43,32,37,22,73
P32,17,Active,High Valence - High Arousal,Set2,8,6.875,2.965031587,1.734829325,1.213627629,0.895099067,8,22,18,43,54,31,32,28,84
P32,17,Active,High Valence - Low Arousal,Set2,6.375,2.75,2.7161054,1.594866025,0.457835572,-0.680275291,8,22,18,43,54,31,32,28,84
P32,17,Active,Low Valence - High Arousal,Set2,4.125,6.875,2.2916616,2.556643238,-0.588645736,0.895099067,8,22,18,43,54,31,32,28,84
P32,17,Active,Low Valence - Low Arousal,Set2,3.375,2.625,2.961437413,1.493605375,-0.937472839,-0.728013908,8,22,18,43,54,31,32,28,84
P32,17,Sham,High Valence - High Arousal,Set2,7.625,6.75,2.6731413,3.592724813,1.039214077,0.84736045,8,22,18,43,54,31,32,28,84
P32,17,Sham,High Valence - Low Arousal,Set2,5.75,1.625,5.975952637,2.738284225,0.16714632,-1.109922844,8,22,18,43,54,31,32,28,84
P32,17,Sham,Low Valence - High Arousal,Set2,4.25,6.875,4.21740265,5.582409962,-0.530507886,0.895099067,8,22,18,43,54,31,32,28,84
P32,17,Sham,Low Valence - Low Arousal,Set2,3.625,1.875,4.513459562,4.739754662,-0.821197138,-1.01444561,8,22,18,43,54,31,32,28,84
P33,7,Active,High Valence - High Arousal,Set2,6.875,6.25,5.90441845,10.83984341,0.933013714,0.653141379,8,18,19,28,48,39,29,33,83
P33,7,Active,High Valence - Low Arousal,Set2,6.125,4.5,6.834358325,12.77273326,0.546939074,-0.335396924,8,18,19,28,48,39,29,33,83
P33,7,Active,Low Valence - High Arousal,Set2,2.875,6.75,5.508169825,6.2985922,-1.126051034,0.935580894,8,18,19,28,48,39,29,33,83
P33,7,Active,Low Valence - Low Arousal,Set2,4,3.375,6.798173913,8.130020175,-0.546939074,-0.970885834,8,18,19,28,48,39,29,33,83
P33,7,Sham,High Valence - High Arousal,Set2,7.125,6.625,9.89022105,6.866516012,1.06170526,0.864971015,8,18,19,28,48,39,29,33,83
